出现时间,弹幕类型,字的大小,颜色,弹幕添加时间戳,unknown_5,unknown_6,unknown_7,unknown_8,弹幕内容
3563.372,1,25,16777215,1630856197,0,ab7fd10b,5.44027E+16,10,恭喜edg!!!!太不容易了
1854.981,1,25,16777215,1630854212,0,219056d9,5.44017E+16,10,大校要开始了
2150.919,1,25,16777215,1630850587,0,d096cc04,5.43998E+16,10,《影响还好》
1958.432,5,25,15138834,1630846230,0,fdc4c8ef,5.43975E+16,10,巨大失误:在路上了
3050.106,1,25,16777215,1630846092,0,ce79f2d0,5.43974E+16,10,Viper超神了
3607.044,1,25,16777215,1630841706,0,ec99680a,5.43951E+16,10,凤一其随
3235.645,1,25,16777215,1630840730,0,ec2322f0,5.43946E+16,10,好家伙，真的有钱
3224.203,5,25,15138834,1630838390,0,688ece4b,5.43934E+16,10,对手绝望两件套出来了！！！
3540.507,1,25,16777215,1630833911,0,799be0b3,5.43911E+16,10,右下多多扒拉到贤哈哈哈啊哈
2359.58,5,25,15138834,1630832408,0,328c236,5.43903E+16,10,《太 难 了》
2998.553,1,25,16777215,1630831480,0,b8d60d8,5.43898E+16,10,纳尔把小天拍出去了
3583.86,5,25,15138834,1630830501,0,2312695f,5.43893E+16,10,银龙重铸之日，骑士归来之时
3579.84,1,25,15138834,1630830493,0,2312695f,5.43893E+16,10,银龙重铸之日，骑士归来之时
3563.077,1,25,16777215,1630828780,0,b1e50d0b,5.43884E+16,10,银龙重铸之日，骑士归来之时
1941.518,5,25,15138834,1630828552,0,328c236,5.43882E+16,10,《已经结束了》
2.272,1,25,16777215,1630827438,0,ce3e11d8,5.43877E+16,10,再来一遍
3578.422,5,25,15138834,1630826861,0,7f3224c9,5.43874E+16,10,银龙重铸之日，骑士归来之时
3574.402,5,25,15138834,1630826854,0,7f3224c9,5.43874E+16,10,银龙重铸之日，骑士归来之时
3570.262,5,25,15138834,1630826844,0,7f3224c9,5.43874E+16,10,银龙重铸之日，骑士归来之时
3568.382,5,25,15138834,1630826838,0,7f3224c9,5.43874E+16,10,银龙重铸之日，骑士归来之时
3566.622,5,25,15138834,1630826834,0,7f3224c9,5.43873E+16,10,银龙重铸之日，骑士归来之时
3564.922,5,25,15138834,1630826830,0,7f3224c9,5.43873E+16,10,银龙重铸之日，骑士归来之时
3562.782,5,25,15138834,1630826824,0,7f3224c9,5.43873E+16,10,银龙重铸之日，骑士归来之时
3561.142,5,25,15138834,1630826816,0,7f3224c9,5.43873E+16,10,银龙重铸之日，骑士归来之时
2654.31,5,25,15138834,1630826306,0,7f3224c9,5.43871E+16,10,Viper我滴超人！！！！！！
1790.733,1,25,16777215,1630825893,0,bbd04723,5.43869E+16,10,淀粉疯狂仰卧起坐
3011.577,1,25,15138834,1630825876,0,ce00f7ba,5.43868E+16,10,开始了双C在地图两边拯救世界
61.439,1,25,16777215,1630825112,0,caddd1c9,5.43864E+16,10,来了来了
3537.918,1,25,16777215,1630824647,0,f6484b34,5.43862E+16,10,这一句近在眼前说的太有力了
2701.368,1,25,16777215,1630824049,0,f6484b34,5.43859E+16,10,纳尔这一下也好重要
2526.576,1,25,16777215,1630823894,0,f6484b34,5.43858E+16,10,一个好的辅助能带来的优势
2741.463,1,25,16777215,1630822697,0,38c5dff,5.43852E+16,10,我曾相信科学
747.655,1,25,16777215,1630822442,0,b1e50d0b,5.4385E+16,10,声控bp了属于是
974.471,1,25,16777215,1630822224,0,60f65f86,5.43849E+16,10,没看过来看重播
2357.446,1,25,16765698,1630822187,0,5f094e0c,5.43849E+16,10,双重施法
3600.57,1,25,16777215,1630821547,0,efb2a81c,5.43846E+16,10,我谢谢你啊
3460.742,1,25,16777215,1630821004,0,facce0fc,5.43843E+16,10,进度条危
3088.427,1,25,16777215,1630820888,0,efb2a81c,5.43842E+16,10,锤石哈哈哈哈哈哈哈
3038.687,1,25,16777215,1630820833,0,efb2a81c,5.43842E+16,10,他满血了卧槽
2293.701,1,25,16777215,1630819980,0,efb2a81c,5.43838E+16,10,meiko！！！！！！！！！！！
2235.505,5,25,8700107,1630819907,0,51ad2693,5.43837E+16,10,挽狂澜于既倒，扶大厦之将倾
2183.089,1,25,16777215,1630819367,0,1c38d569,5.43834E+16,10,蝴蝶扇动了翅膀
895.581,1,25,16777215,1630818830,0,cd3634a3,5.43832E+16,10,哈哈哈哈哈
3609.114,1,25,16777215,1630818407,0,f0256ca7,5.43829E+16,10,燃起来了
1538.739,1,25,16777215,1630818059,0,facce0fc,5.43827E+16,10,预言家了
3047.344,1,25,16777215,1630818024,0,b15ff237,5.43827E+16,10,牛逼！
3040.956,1,25,16777215,1630817841,0,7d65b555,5.43826E+16,10,导播这波好强
2672.849,1,25,16777215,1630817681,0,1d57411c,5.43825E+16,10,卧槽！Viper
2210.356,5,25,15138834,1630817476,0,c43dc5c,5.43824E+16,10,杰杰：从现在开始到游戏结束我将1条龙不丢
3610.051,1,25,16777215,1630816944,0,79d44da6,5.43822E+16,10,牛逼
2360.62,5,25,41194,1630816482,0,7730f47c,5.43819E+16,10,《太难了》
392.2,1,25,16777215,1630816469,0,d9211f9d,5.43819E+16,10,勤劳的神
2240.244,5,25,41194,1630816354,0,7730f47c,5.43819E+16,10,《依然很困难》
2226.044,5,25,16707842,1630816324,0,7730f47c,5.43818E+16,10,挽狂澜于即倒，扶大厦之将倾
2207.164,5,25,16707842,1630816212,0,7730f47c,5.43818E+16,10,《杰杰有个问题》
1971.507,5,25,16777215,1630815940,0,7730f47c,5.43816E+16,10,《给viper都没用》
1946.307,5,25,15138834,1630815870,0,7730f47c,5.43816E+16,10,《已经有点结束了》
2727.344,1,25,16777215,1630815273,0,8ee46209,5.43813E+16,10,7777777
1837.67,1,25,16777215,1630813923,0,bffb1d3,5.43806E+16,10,圣枪哥：这还怎么玩呀
3015.528,1,25,15138834,1630813764,0,c32bd5fa,5.43805E+16,10,世界名画
2998.538,1,25,15138834,1630813622,0,c32bd5fa,5.43804E+16,10,Jiejie！
2644.081,5,25,15138834,1630813048,0,c32bd5fa,5.43801E+16,10,世界聚焦于你
2517.969,1,25,16707842,1630812670,0,c32bd5fa,5.43799E+16,10,Meiko立大功
2422.371,1,25,16777215,1630812250,0,a6e55073,5.43797E+16,10,赛场之星哈哈哈哈哈哈
2308.454,5,25,15138834,1630812106,0,a6e55073,5.43796E+16,10,《5%》
2217.301,5,25,15138834,1630811955,0,a6e55073,5.43795E+16,10,jiejie：从此刻开始我将一龙不失
2203.909,5,25,15138834,1630811919,0,c32bd5fa,5.43795E+16,10,《不存在》
2202.104,1,25,15138834,1630811907,0,a6e55073,5.43795E+16,10,jiejie：从此刻开始我将一龙不失
2044.551,5,25,15138834,1630811431,0,c32bd5fa,5.43793E+16,10,《没输出环境了》
1967.891,5,25,15138834,1630811326,0,c32bd5fa,5.43792E+16,10,《给viper都没用》
1940.75,1,25,15138834,1630811258,0,c32bd5fa,5.43792E+16,10,《已经结束了》
846.07,5,25,16777215,1630810394,0,c32bd5fa,5.43787E+16,10,同步
366.73,1,25,16777215,1630808254,0,a6e55073,5.43776E+16,10,今天解说阵容真的行！
20.199,1,25,16777215,1630808090,0,a6e55073,5.43775E+16,10,恩？站在还有800+？
3567.894,1,25,16777215,1630806387,0,651a5e08,5.43766E+16,10,恭喜EDG！
1341.728,1,25,16777215,1630802255,0,e2cbb30e,5.43745E+16,10,大校开始做法
3565.558,1,25,16777215,1630800164,0,19cc4d58,5.43734E+16,10,恭喜EDG!
3568.939,5,25,15138834,1630798610,0,23392979,5.43726E+16,10,恭喜EDG！！！
1782.834,1,25,16777215,1630792698,0,ffe47094,5.43695E+16,10,凤一其随
3579.274,1,25,16777215,1630787298,0,5922f2d,5.43666E+16,10,恭喜EDG！！
2924.018,1,25,16777215,1630785347,0,ec28c8cd,5.43656E+16,10,大龙：？我这么牛掰？
1632.788,1,25,16777215,1630784868,0,a7195cf1,5.43653E+16,10,《不差》
3566.236,1,25,16777215,1630782018,0,aa8787da,5.43639E+16,10,恭喜EDG！
3576.145,1,25,16777215,1630780028,0,c0127ce9,5.43628E+16,10,恭喜EDG！！！！！！！
631.614,1,25,16777215,1630779780,0,4260ebf8,5.43627E+16,10,绝境翻盘真的太好看了
3544.419,1,25,16777215,1630777032,0,b760aa38,5.43612E+16,10,per开始狂叫了哈哈哈
3500.131,1,25,16777215,1630776933,0,b760aa38,5.43612E+16,10,一个没吃到哈哈哈哈哈
3041.612,1,25,16777215,1630776328,0,b760aa38,5.43609E+16,10,血越打越多
2545.426,1,25,16777215,1630775048,0,755053c1,5.43602E+16,10,田锤石！
3603.348,1,25,16777215,1630774861,0,728178d1,5.43601E+16,10,7777
1795.312,1,25,16777215,1630774560,0,b760aa38,5.43599E+16,10,我拿着氧气瓶坚持看完了
2371.225,5,25,41194,1630773977,0,7c00c42d,5.43596E+16,10,《太难了》
1354.822,1,25,16777215,1630773325,0,e557b4aa,5.43593E+16,10,前三把EDG开局都是优势
2753.107,1,25,16777215,1630772153,0,6c9c7ab9,5.43587E+16,10,继续施法，绝佳的机会
2472.237,1,25,16777215,1630771770,0,2067f472,5.43585E+16,10,来了来了
1.895,1,25,16777215,1630771635,0,aa3e036e,5.43584E+16,10,直奔主题
1879.483,1,25,16777215,1630770887,0,8dd83597,5.4358E+16,10,《下一把》
706.478,1,25,16777215,1630770586,0,6c9c7ab9,5.43579E+16,10,防装船长贡子哥
2214.358,5,25,15138834,1630770104,0,b281ade0,5.43576E+16,10,挽狂澜于既倒，扶大厦之将倾
2133.697,5,25,16776960,1630769977,0,b660efa3,5.43575E+16,10,正片开始
3086.431,1,25,16777215,1630769898,0,9ea9f6f1,5.43575E+16,10,《两条龙》
2503.826,1,25,16777215,1630769535,0,fae2ecb4,5.43573E+16,10,meiko立大功！
2211.356,5,25,16777215,1630768717,0,198a2e64,5.43569E+16,10,挽狂澜于既倒，扶大厦之将倾
404.459,1,25,16707842,1630768301,0,c32bd5fa,5.43567E+16,10,米勒表情好像教导主任
2710.735,1,25,16777215,1630766939,0,76f07ebb,5.43559E+16,10,纳尔这波是压炸弹人起身
2863.806,1,25,16777215,1630766616,0,bd8dea08,5.43558E+16,10,等级都是领先的
2696.564,1,25,16777215,1630766446,0,19ad7d12,5.43557E+16,10,太牛逼了！！！！
2926.999,1,25,16777215,1630766176,0,6266f905,5.43555E+16,10,大龙:等会拿这打我？
2895.55,1,25,16777215,1630765887,0,d1e70113,5.43554E+16,10,woc这炮台太细节了
3087.267,1,25,16777215,1630765545,0,95294fc2,5.43552E+16,10,田锤石！
3016.135,1,25,16777215,1630765386,0,95294fc2,5.43551E+16,10,卧槽！学！
3363.223,1,25,16777215,1630765356,0,af788cdb,5.43551E+16,10,粉皮恐龙可可爱爱
2798.216,1,25,16777215,1630764795,0,a159bcb,5.43548E+16,10,人情世故！
2928.058,1,25,16777215,1630764675,0,20bd3f16,5.43548E+16,10,大龙：咱俩真强
2669.191,1,25,16777215,1630764504,0,95294fc2,5.43547E+16,10,卧槽！per！！！！！！
2635.234,1,25,16777215,1630764468,0,95294fc2,5.43547E+16,10,Viper通天代！！！！！！！！！！！
2623.814,1,25,16777215,1630764446,0,95294fc2,5.43546E+16,10,全体起立！
2492.736,1,25,16777215,1630764275,0,95294fc2,5.43545E+16,10,全体起立！
3221.866,1,25,16777215,1630763967,0,831b1c18,5.43544E+16,10,此时一位靓仔开始换装备了
17.099,1,25,16777215,1630763510,0,7e47f0b2,5.43541E+16,10,来了来了
2242.785,5,25,41194,1630762898,0,3c14eb8e,5.43538E+16,10,这就是我们野辅！！！
3608.13,1,25,16777215,1630761655,0,b37a6bd2,5.43532E+16,10,都要拿回来！
3535.689,5,25,16777215,1630761346,0,acdf3d4a,5.4353E+16,10,塞拉斯放出了胜利的烟花↓
3066.957,1,25,16777215,1630761129,0,1b3964cb,5.43529E+16,10,666
2179.61,1,25,16646914,1630760730,0,e778e90d,5.43527E+16,10,《无法阻挡》
5.254,1,25,16777215,1630760041,0,380433cf,5.43523E+16,10,再来亿遍
2277.235,1,25,16777215,1630759209,0,c4077196,5.43519E+16,10,哈哈哈哈哈哈
2508.211,1,25,16777215,1630758101,0,468881f6,5.43513E+16,10,哇！meiko！！！！！
2725.392,1,25,16777215,1630756958,0,962612bb,5.43507E+16,10,卧槽，这波是真的猛
1200.539,1,25,16777215,1630756406,0,1fbe4e6f,5.43504E+16,10,4回去8点1000
1877.176,5,25,41194,1630756315,0,97efff1b,5.43504E+16,10,《下一把》
2495.427,1,25,16777215,1630755812,0,c74f17c3,5.43501E+16,10,看直播的时候直接心脏停跳
3059.211,1,25,16777215,1630755782,0,207480df,5.43501E+16,10,泪目
2498.135,1,25,16777215,1630755769,0,c74f17c3,5.43501E+16,10,看直播的时候心都停跳了
2515.949,1,25,16777215,1630755383,0,a9abd302,5.43499E+16,10,牛逼田野！！！！！
3603.71,1,25,16777215,1630755368,0,9e512d31,5.43499E+16,10,泪目了
769.363,1,25,16777215,1630752771,0,62418c95,5.43485E+16,10,金身永霜秒表
2185.946,1,25,16777215,1630752340,0,48ca24d,5.43483E+16,10,施法ing
3427.077,1,25,16777215,1630752265,0,6b29a75c,5.43483E+16,10,25层挺久了
3233.21,1,25,16777215,1630752072,0,6b29a75c,5.43482E+16,10,换装备离谱啊
