出现时间,弹幕类型,字的大小,颜色,弹幕添加时间戳,unknown_5,unknown_6,unknown_7,unknown_8,弹幕内容
0,5,25,15138834,1630591374,0,558c5c5f,5.43E+16,10,合影留念
0,1,25,16777215,1630590146,0,5675ccf5,5.43E+16,10,断剑重铸之日，骑士归来之时！
0,1,25,16777215,1630591169,0,b37359ff,5.43E+16,9,凤一7three !
0,1,25,16777215,1630709533,0,c0e6e87a,5.43E+16,7,凤一其随
0,1,25,16777215,1630590868,0,442f6f86,5.43E+16,7,空降11:55
0,1,25,16777215,1630655886,0,a1f531b5,5.43E+16,1,导子哥 你看见了吗？
0,1,25,16777215,1630639396,0,61ae4a2f,5.43E+16,1,在!为什么不看第一把
0,5,25,41194,1630597879,0,5fd1ff0a,5.43E+16,1,空降12:06
0,1,25,16777215,1630595259,0,5df7ddb3,5.43E+16,1,第四把真是太好看了
0,1,25,16777215,1630593242,0,b71291fb,5.43E+16,1,doinb哥哥加油
0,1,25,16777215,1630592103,0,b1cbd3b2,5.43E+16,1,指挥部12.07
0,5,25,16777215,1630591821,0,5bb10fc7,5.43E+16,1,我要争一口气
0,5,25,15138834,1630591320,0,883e499c,5.43E+16,1,我们是冠军！EDG牛逼！
0,1,25,16777215,1630591209,0,96c265a8,5.43E+16,1,恭喜edg！
0,1,25,16777215,1630590775,0,ee878f38,5.43E+16,1,大反转啊！！！
0,1,25,16777215,1630590166,0,25443b96,5.43E+16,1,舒服啦
0,5,25,15138834,1630589418,0,5675ccf5,5.43E+16,1,断剑重铸之日，骑士归来之时！
0,1,25,16777215,1630579233,0,739cbc86,5.43E+16,1,bp 空降4：29
0,1,25,16777215,1630578499,0,6faa13e7,5.43E+16,1,第一个人必是我淀粉，问就是不敢看直播。。。
0,1,18,16777215,1630578385,0,1e6b22c3,5.43E+16,1,第一第一
0,5,25,15138834,1630680329,0,dd6b64c5,5.43E+16,0,恭喜韩国队夺冠！
0,5,25,15138834,1630599807,0,ff4ff947,5.43E+16,0,没有平行世界，这就是我们的时代！
0,1,25,16777215,1630598476,0,89d4085e,5.43E+16,0,结节的盲僧太猛了
0,1,25,16777215,1630593064,0,c52607c7,5.43E+16,0,为什么热度第二
0,1,25,16777215,1630591561,0,d6f5358b,5.43E+16,0,恭喜FPX
0.042,5,25,16707842,1630593721,0,148325b9,5.43E+16,10,《凤1其three》
0.049,1,25,16777215,1630591408,0,9bcb95f5,5.43E+16,7,77777
0.062,1,25,16777215,1630591275,0,633127b,5.43E+16,7,凤1其他3…
0.062,5,25,11890,1630591594,0,fe7a847,5.43E+16,1,EDG
0.067,1,25,16777215,1630651721,0,c8c948cd,5.43E+16,1,Phoenix fly
0.105,1,25,16777215,1630591322,0,16786108,5.43E+16,1,我们是冠军
